agency_cd,site_no,dateTime,Wtemp_Max,Wtemp_Max_cd,Wtemp_Min,Wtemp_Min_cd,Wtemp,Wtemp_cd,Flow,Flow_cd,tz_cd
USGS,06037500,2020-10-01T00:00:00Z,15,A,10.3,A,12.6,A,365,A,UTC
USGS,06037500,2020-10-02T00:00:00Z,16.5,A,11.6,A,13.6,A,368,A,UTC
USGS,06037500,2020-10-03T00:00:00Z,16,A,10.8,A,13.3,A,367,A,UTC
USGS,06037500,2020-10-04T00:00:00Z,15.6,A,11.2,A,13.2,A,368,A,UTC
USGS,06037500,2020-10-05T00:00:00Z,15.1,A,10.6,A,12.8,A,367,A,UTC
USGS,06037500,2020-10-06T00:00:00Z,15.2,A,10.6,A,12.8,A,367,A,UTC
USGS,06037500,2020-10-07T00:00:00Z,14.7,A,10.1,A,12.3,A,367,A,UTC
USGS,06037500,2020-10-08T00:00:00Z,14,A,9.7,A,11.8,A,368,A,UTC
USGS,06037500,2020-10-09T00:00:00Z,13.8,A,9.2,A,11.4,A,368,A,UTC
USGS,06037500,2020-10-10T00:00:00Z,12.7,A,9,A,10.8,A,370,A,UTC
USGS,06037500,2020-10-11T00:00:00Z,10.8,A,8.7,A,10,A,438,A,UTC
USGS,06037500,2020-10-12T00:00:00Z,11.3,A,7.9,A,9.2,A,406,A,UTC
USGS,06037500,2020-10-13T00:00:00Z,10,A,8.3,A,9.1,A,397,A,UTC
USGS,06037500,2020-10-14T00:00:00Z,9.8,A,7.3,A,8.8,A,423,A,UTC
USGS,06037500,2020-10-15T00:00:00Z,8.5,A,6.4,A,7.2,A,395,A,UTC
USGS,06037500,2020-10-16T00:00:00Z,9.8,A,6.1,A,7.8,A,386,A,UTC
USGS,06037500,2020-10-17T00:00:00Z,10.5,A,8.5,A,9.3,A,390,A,UTC
USGS,06037500,2020-10-18T00:00:00Z,9.5,A,8.6,A,9,A,391,A,UTC
USGS,06037500,2020-10-19T00:00:00Z,11.3,A,9.2,A,10,A,406,A,UTC
USGS,06037500,2020-10-20T00:00:00Z,10.7,A,8.8,A,9.6,A,397,A,UTC
USGS,06037500,2020-10-21T00:00:00Z,10.5,A,6.4,A,9,A,398,A,UTC
